actual_quantity,rf_predicted,xgb_predicted,lr_predicted
0,0.0,0.0023407326,0.076577215086445
0,0.0,0.00024362502,0.0729487943156073
0,0.0,0.0002539987,0.13550014253405607
20,11.14,14.612205,20.134593776991096
50,34.74,0.5061475,50.19101162842367
0,20.01,0.50276715,0.1819586495985277
0,13.7,33.337482,0.25614461858822324
0,11.16,11.138131,0.40832154601662296
0,7.66,8.15085,0.4821694027561989
0,5.84,7.6674833,0.41950591795739456
0,3.47,0.26918724,0.2910131812452619
0,0.66,0.7746233,0.33328524457078856
0,0.66,0.60692316,0.3692065920222376
0,0.4,0.6074982,0.38878875246086864
0,0.2,0.6448981,0.43904787859105454
0,0.2,0.53270024,0.4426712929639507
0,0.17,0.53030664,0.4077822798528814
0,0.17,0.5326838,0.34074533121133754
20,9.83,14.491152,20.486241166252512
0,3.78,0.7710538,0.6783430719556236
0,2.6,3.9997678,0.5772237300768666
0,0.45,0.6365922,0.5770983589250136
0,0.45,0.5938349,0.5281146687398177
0,1.49,0.46933204,0.4920888909787209
0,0.17,0.47891432,0.33905727744286196
0,0.17,0.49767733,0.317936945331212
0,0.17,0.47702506,0.30068458450614344
0,0.17,0.49168426,0.28929712680087505
0,0.17,0.4798761,0.3300281254394122
15,9.87,12.795237,15.345501765184508
0,0.89,0.06932374,0.3267882982111132
0,0.29,0.5003327,0.3052440790570472
0,0.35,0.51513606,0.32339856743101336
0,1.49,0.48485962,0.4276486759308682
0,0.17,0.54234374,0.3971414325008027
0,0.17,0.5214518,0.34583913386723
0,0.17,0.48220614,0.32694694458177764
0,0.17,0.4724734,0.3110953174534643
0,0.17,0.49115694,0.29974667321403103
25,13.71,8.492064,25.326321788643554
0,4.21,0.6048535,0.30887637774389987
0,5.46,0.28688586,0.33948738273488743
0,5.2,0.2983125,0.4115126142291956
0,0.62,0.8163662,0.438681975017289
10,5.43,5.3940177,10.548068322603285
0,2.18,0.29527053,0.3750407869247283
0,0.26,0.58272415,0.3773589583588546
0,0.23,0.4907266,0.38369764337494416
0,0.17,0.5118162,0.39282728900479924
0,0.05,0.6112346,0.4468083022857172
0,0.05,0.46583876,0.3839403978715836
0,0.05,0.48772308,0.37813141194874333
0,0.05,0.48015165,0.33854736630951265
0,0.05,0.4993842,0.3436251234898009
0,0.05,0.5015037,0.45047582797815267
0,0.05,0.5013361,0.3967448432715628
40,19.18,32.07404,40.49950679823701
0,17.01,7.134949,0.442582619991299
0,8.06,0.5046343,0.46910318949153407
0,5.15,0.46117273,0.5546851409806095
0,1.95,0.2788398,0.5693394957331748
0,0.2,0.50053394,0.5842415941760919
0,0.05,0.4686528,0.34588276409067475
0,0.35,0.5526298,0.42362132328025837
0,0.05,0.31014663,0.43156127155589274
0,0.2,0.9382602,0.44311436619932465
40,17.21,32.146576,40.50131505168383
0,10.23,3.6662939,0.49076062762173933
0,10.46,2.5262973,0.5311847972354826
0,10.78,2.7316837,0.5537870613111409
0,5.77,2.714112,0.6798242370798562
0,5.19,3.3517535,0.9090455986006418
2,0.18,0.54364425,2.6183660183125994
0,0.44,0.57888085,0.5866795743390867
0,0.43,0.58506995,0.5654800704751324
0,0.05,0.5558771,0.5563438899787343
0,0.62,1.0002787,0.5174905836395283
0,0.05,0.5178796,0.570403541055839
0,0.05,0.46014372,0.5384545650056225
0,0.05,0.5561572,0.46839956035773866
5,2.14,5.2178946,5.480348769308648
0,0.32,0.6099833,0.6592322778333255
0,0.3,0.80931324,0.5794324416299332
0,0.05,0.5939979,0.520872349151432
0,0.05,0.5704043,0.5417719925410438
0,0.05,0.5701932,0.5030922222999834
0,0.05,0.5712591,0.4435590710975248
0,0.05,0.56487554,0.42952291376218454
0,0.05,0.56256115,0.40594139572317545
0,0.05,0.56591755,0.38680132291801783
0,0.05,0.5631603,0.36624361751773904
0,0.05,0.5653278,0.4172546657512157
0,0.05,0.5635595,0.4021644611461852
0,0.05,0.55785394,0.3817220841594917
0,0.05,0.5643872,0.3709663980409914
0,0.05,0.5592521,0.3830286684853945
0,0.05,0.5452806,0.3624514668424581
0,0.05,0.5501638,0.34454476108066956
30,23.57,30.008865,30.459893371756834
15,12.52,3.0970402,15.471964797501641
0,7.11,2.634118,0.507309056390568
0,6.44,2.6346118,0.5606224950870455
0,6.53,2.7586656,0.6121807366262146
0,2.82,2.4938214,0.655882688819247
0,0.08,0.58809114,0.5032852412423381
0,0.18,0.68454987,0.5046308353341828
0,1.25,0.44746584,0.526844580566376
0,0.05,0.58814317,0.5478909949063109
0,0.05,0.622082,0.5418018512812068
0,0.05,0.5593597,0.5366596585981824
0,0.05,0.552209,0.5317942128535833
0,0.05,0.55326265,0.48319059001846654
0,0.05,0.5449653,0.5332846596095351
0,0.05,0.5464367,0.6750921447010114
0,0.05,0.54708445,0.683870804134358
0,0.05,0.5459302,0.6065320195807544
0,0.05,0.5451923,0.5460585700991487
0,0.05,0.5451923,0.4982326165848008
0,0.05,0.5451923,0.45989078657157734
0,0.05,0.5463934,0.4953705329492095
0,0.05,0.5445039,0.46947251976257576
10,7.24,6.1477365,10.469768965400363
0,0.1,0.7826053,0.44891642021934786
0,0.15,0.82212365,0.44519724532551663
0,0.05,0.60728616,0.44566925590493156
0,0.1,0.5957588,0.44535339690582987
0,0.05,0.5705453,0.510940609493673
0,0.05,0.55561054,0.4458499489469432
0,0.05,0.5462649,0.44261561135317606
0,0.05,0.5344116,0.4382401901000321
0,0.05,0.59369135,0.45131888423384225
0,0.05,0.5909671,0.43854253594804504
0,0.05,0.5910159,0.43084206870685193
0,0.08,0.60612696,0.48758950565843406
10,6.4,5.263782,10.486876345600194
